0	24
1	26
2	27
3	26
4	26
5	26
6	24
7	24
8	25
9	26
10	27
11	25
12	25
13	27
14	27
15	26
16	27
17	26
18	26
19	26
20	26
21	26
22	27
23	25
24	25
25	26
26	28
27	27
28	27
29	26
30	26
31	26
32	28
33	29
34	29
35	26
36	29
37	30
38	30
39	31
40	30
41	30
42	30
43	30
44	31
45	33
46	34
47	31
48	31
49	34
50	34
51	34
52	33
53	32
54	32
55	30
56	35
57	37
58	36
59	32
60	33
61	38
62	38
63	39
64	37
65	38
66	38
67	36
68	41
69	42
70	41
71	38
72	43
73	49
74	49
75	48
76	47
77	49
78	45
79	45
80	51
81	55
82	58
83	51
84	55
85	62
86	68
87	63
88	62
89	62
90	59
91	63
92	68
93	72
94	73
95	64
96	66
97	75
98	76
99	73
100	74
101	74
102	73
103	73
104	76
105	83
106	83
107	69
108	76
109	84
110	85
111	84
112	82
113	84
114	88
115	83
116	95
117	97
118	97
119	82
120	87
121	97
122	92
123	100
124	94
125	96
126	93
127	91
128	93
129	78
130	73
131	72
132	71
133	76
134	84
135	82
136	77
137	79
138	77
139	72
140	85
141	88
142	95
143	88
